Date,bbReturnLogOpen_pband_w46_stdDev3.479652436716822,macdReturnLogOpen_fW2_sW16_signal23,rsi_w15,macd_fW15_sW21_signal30,rsiReturnLogOpen_w15,macd_fW17_sW43_signal48,bbReturnLogOpen_lband_w43_stdDev0.5607752064443937,adx_pos_w5,stochRsiReturnLogOpen_k_w30_s13_s213,aroon_down_w49,stochRsiReturnLogOpen_stochrsi_w3_s111_s229,stochRsiReturnLogOpen_k_w3_s111_s229,aroonReturnLogOpen_up_w32,bbReturnLogOpen_lband_w7_stdDev1.4297935115233904,aroon_indicator_w32,aroon_indicator_w9,macdReturnLogOpen_fW4_sW48_signal41,aroon_up_w49,stochRsi_k_w3_s111_s229,macd_signal_fW17_sW43_signal48
2016-01-04,0.0,0.0,0.0,0.662051114168662,100.0,1.2750614050664808,-0.0080958792322807,0.0,0.0,4.081632653061225,0.0,0.0,3.125,-0.0080958792322807,-3.125,-11.11111111111111,0.0,2.0408163265306123,0.0,0.0520433226557747
2016-01-05,0.3563074878616992,0.0015534353478807,0.0,2.2475198477745835,0.0,4.404223266639292,-0.0103039637352292,0.0,0.0,6.122448979591836,0.0,0.0,3.125,-0.0115333950103422,-6.25,-22.222222222222214,0.0010162999768642,2.0408163265306123,0.0,0.2296833203693876
2016-01-06,0.3536716867855083,0.0025078517721161,8.073754421133117,3.3450824754022506,0.0,6.771121860710537,-0.011291758848359,0.0,0.0,6.122448979591836,0.0,0.0,3.125,-0.012738416288832,-6.25,-22.222222222222214,0.0019898017562332,2.0408163265306123,0.0,0.4966808118118835
2016-01-07,0.7344043725858398,-0.0034610694604472,5.159085673861156,5.081834236472332,75.81122616150684,10.48181482625364,-0.0104312037986338,0.0,0.0,10.20408163265306,1.0,0.0,3.125,-0.0141587997047245,-12.5,-44.44444444444444,-0.0014424223136938,2.0408163265306123,0.0,0.9042373021972612
2016-01-08,0.3634530440773778,0.0017399722206757,3.053088764581304,8.013662882771996,39.96160193704348,16.67436621349657,-0.0115067243452288,0.0,0.0,12.244897959183673,0.4164494158456587,0.0,3.125,-0.0152958096415547,-15.625,-55.55555555555554,0.0009794560117941,2.0408163265306123,0.0,1.5479160332707025
2016-01-11,0.269905824651178,0.0068745307438378,2.5543055432543014,10.972687336505032,31.133701211406787,23.227161373335093,-0.0140858403170365,0.0,0.0,14.285714285714285,0.0,0.0,3.125,-0.0190415202855182,-18.75,-66.66666666666667,0.0048049473252421,2.0408163265306123,0.0,2.432783190008024
2016-01-12,0.5148008309750778,0.0024834652649048,3.864721242070061,13.145857569226564,48.57741806930939,28.56212215641517,-0.0137605260677536,0.0,0.0,14.285714285714285,1.0,0.0,3.125,-0.0183526560882059,-18.75,-66.66666666666667,0.0034201078656022,2.0408163265306123,0.0,3.4992868212899486
2016-01-13,0.7341507248119067,-0.0051190598448487,15.065017378906148,14.213426085413175,60.73304353691953,31.958996714232853,-0.0128550983066615,6.512605012400978,0.0,14.285714285714285,1.0,0.0,3.125,-0.0190773489120131,-18.75,-66.66666666666667,-0.0014341406409198,2.0408163265306123,0.0,4.660907633246802
2016-01-14,0.7613482131062962,-0.0100175822210768,10.741483896117629,16.551112940979465,65.15421547392312,37.857563615151776,-0.0119120964175402,4.511325140643186,0.0,20.40816326530612,1.0,0.0,3.125,-0.0193924454841159,-28.125,-88.88888888888889,-0.006208935640481,2.0408163265306123,0.0,6.015873183528637
2016-01-15,0.2459593155366173,0.0068224543053238,25.64912810241861,17.14664882027887,38.57981016203936,40.59909139764932,-0.0144486115779226,3.382415761031303,0.0,20.40816326530612,0.0,0.0,3.125,-0.0243169022635523,-28.125,-66.66666666666666,0.0025902560007368,2.0408163265306123,0.0,7.427433110635603
2016-01-19,0.7720932256087052,-0.0099117916124813,20.76241209021582,18.840636229682787,59.81274693813058,45.44559494823034,-0.013372842823852,2.486152798914153,0.0,24.489795918367346,0.7528504937270942,0.0,3.125,-0.0256785697398277,-34.375,-88.88888888888889,-0.0062262950271113,2.0408163265306123,0.0,8.97919481829253
2016-01-20,0.4073980630948884,0.0012373386598137,21.150165538063035,19.93993716637124,47.17821840711599,49.26260000656066,-0.0138451412705512,2.0880996844885846,0.0,24.489795918367346,0.3833784528109183,0.5047889420348792,3.125,-0.02605975665417,-34.375,-77.77777777777777,-0.0011931824599012,2.0408163265306123,0.4744854443538437,10.62341543822184
2016-01-21,0.5170881554075343,-2.605779230686455e-05,18.962838722616222,21.33779089820996,50.4387123155614,53.69691439945427,-0.0135162251729562,1.5185483358546348,0.0,28.57142857142857,0.3265132118146731,0.5344719612907586,3.125,-0.0226071268972158,-40.625,-88.88888888888889,-0.0011854663050088,2.0408163265306123,0.4744854443538437,12.38151743663949
2016-01-22,0.4994250649109177,0.0002889937137728,22.72269364423769,21.87792575947651,49.93019088055146,56.553921769508406,-0.0133125610888202,6.880631768939362,0.0,28.57142857142857,0.8075760772382542,0.6078879683124181,3.125,-0.0221066149300134,-40.625,-55.55555555555556,-0.00071379024978,2.0408163265306123,0.4744854443538437,14.1844727155321
2016-01-25,0.7135428007885104,-0.0086468353959026,35.337439422980935,20.766578168455,56.159926168255325,56.20338071932497,-0.0125100441177189,13.811943454940655,0.0,28.57142857142857,1.0,0.6078879683124181,3.125,-0.0221485800866901,-40.625,-55.55555555555557,-0.0063225397645005,2.0408163265306123,0.5237525598145617,15.899530185074664
