Date,investorStrategy,MoneyInvested,MoneyNotInvested,MoneyInvestedToday,PerInvestToday,TotalPortfolioValue,MPV,StdPV,maxPV,minPV,absGain,perGain,maxGain,minGain,rsi_w3,bb_w10_stdDev1.5,Open,Close,High,Low,Volume,nDay
2022-12-27 09:30:00,bia,0.0,10000.0,-0.0,-1.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,wia,10000.0,0.0,10000.0,1.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,ca,500.0,9500.0,500.0,0.05,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,idle,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,random,0.0,10000.0,-0.0,-0.2617367848517076,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,bah,10000.0,0.0,10000.0,1.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,rsi,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,bb,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,45.88084663155387,0.281512965377839,3843.340087890625,3844.820068359375,3845.800048828125,3797.010009765625,2819280000,0.0
2022-12-27 09:30:00,bia,0.0,10000.0,-0.0,-1.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
2022-12-27 09:30:00,wia,9996.150715917944,0.0,0.0,1.0,9996.150715917944,9998.075357958973,1.924642041027255,10000.0,9996.150715917944,-3.84928408205451,-0.0384928408205451,-3.84928408205451,-3.84928408205451,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
2022-12-27 16:00:00,ca,973.166947554938,9025.0,475.0,0.05,9998.16694755494,9999.08347377747,0.9165262225305923,10000.0,9998.16694755494,-1.8330524450611847,-0.0183305244506118,-1.8330524450611847,-1.8330524450611847,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
2022-12-27 16:00:00,idle,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
2022-12-27 16:00:00,random,1833.263413773152,8166.736586226848,1833.263413773152,0.1833263413773151,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
2022-12-27 16:00:00,bah,9963.338951098762,0.0,0.0,1.0,9963.338951098762,9981.66947554938,18.330524450619123,10000.0,9963.338951098762,-36.661048901238246,-0.3666104890123824,-36.661048901238246,-36.661048901238246,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
2022-12-27 16:00:00,rsi,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
2022-12-27 16:00:00,bb,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,38.03353081822835,0.2672303886046612,3843.340087890625,3829.25,3846.64990234375,3813.219970703125,3030300000,1.0
